Town,financial_year,3-Room,4-Room,5-Room
BUKIT TIMAH,2017,*,*,*
CENTRAL,2017,*,"$811,500 ",*
CHOA CHU KANG,2017,*,"$343,000 ","$405,000 "
CLEMENTI,2017,"$340,000 ","$530,000 ",*
GEYLANG,2017,"$281,500 ","$513,800 ",*
HOUGANG,2017,"$296,000 ","$390,000 ","$478,000 "
JURONG EAST,2017,"$285,000 ","$410,000 ","$515,000 "
JURONG WEST,2017,"$274,000 ","$375,000 ","$462,500 "
KALLANG/WHAMPOA,2017,"$335,000 ","$574,000 ","$785,000 "
MARINE PARADE,2017,*,*,*
PASIR RIS,2017,*,"$395,000 ","$475,000 "
PUNGGOL,2017,*,"$452,500 ","$450,000 "
QUEENSTOWN,2017,"$340,000 ","$702,500 ",*
SEMBAWANG,2017,*,"$365,000 ","$410,000 "
SENGKANG,2017,*,"$415,000 ","$440,000 "
SERANGOON,2017,"$320,000 ","$443,800 ",*
TAMPINES,2017,"$319,000 ","$423,000 ","$519,000 "
TOA PAYOH,2017,"$306,000 ","$631,000 ","$830,000 "
WOODLANDS,2017,"$265,000 ","$350,000 ","$420,000 "
YISHUN,2017,"$285,000 ","$356,000 ","$455,000 "
ANG MO KIO,2016,"$318,000 ","$469,000 ","$700,000 "
BEDOK,2016,"$302,900 ","$419,800 ","$575,000 "
BISHAN,2016,*,"$602,000 ","$778,500 "
BUKIT BATOK,2016,"$280,000 ","$405,000 ",*
BUKIT MERAH,2016,"$390,000 ","$604,000 ","$724,000 "
BUKIT PANJANG,2016,"$290,000 ","$345,000 ","$449,000 "
BUKIT TIMAH,2016,*,*,*
CENTRAL,2016,"$420,000 ","$845,000 ",*
CHOA CHU KANG,2016,*,"$345,000 ","$410,000 "
CLEMENTI,2016,"$345,000 ","$518,000 ",*
GEYLANG,2016,"$280,000 ","$550,000 ",*
HOUGANG,2016,"$288,000 ","$380,000 ","$480,000 "
JURONG EAST,2016,"$303,000 ","$403,800 ","$548,000 "
JURONG WEST,2016,"$270,000 ","$376,900 ","$470,000 "
KALLANG/WHAMPOA,2016,"$320,000 ","$518,000 ","$706,000 "
MARINE PARADE,2016,*,*,*
PASIR RIS,2016,-,"$400,000 ","$472,400 "
PUNGGOL,2016,*,"$450,000 ","$450,000 "
QUEENSTOWN,2016,"$371,300 ","$680,000 ",*
SEMBAWANG,2016,-,"$361,500 ","$412,500 "
SENGKANG,2016,*,"$408,000 ","$447,500 "
SERANGOON,2016,*,"$465,000 ",*
TAMPINES,2016,"$321,500 ","$430,000 ","$530,000 "
TOA PAYOH,2016,"$304,000 ","$565,000 ",*
WOODLANDS,2016,"$268,000 ","$350,000 ","$420,000 "
YISHUN,2016,"$285,000 ","$369,000 ","$458,400 "
ANG MO KIO,2016,"$320,000 ","$459,000 ","$655,000 "
BEDOK,2016,"$300,000 ","$410,000 ","$548,000 "
BISHAN,2016,*,"$561,000 ","$730,000 "
BUKIT BATOK,2016,"$280,000 ","$400,000 ","$560,000â€¢"
BUKIT MERAH,2016,"$340,000 ","$630,000 ","$737,500 "
BUKIT PANJANG,2016,"$285,000 ","$350,000 ","$485,000 "
BUKIT TIMAH,2016,*,*,*
CENTRAL,2016,*,"$784,000 ",*
CHOA CHU KANG,2016,*,"$345,000 ","$412,000 "
CLEMENTI,2016,"$336,000 ","$530,900 ",*
GEYLANG,2016,"$287,000 ","$463,000 ",*
HOUGANG,2016,"$295,000 ","$376,000 ","$507,000 "
JURONG EAST,2016,"$303,000 ","$419,000 ","$615,000 "
JURONG WEST,2016,"$280,000 ","$390,000 ","$460,000 "
KALLANG/WHAMPOA,2016,"$329,000 ","$581,500 ","$785,000 "
MARINE PARADE,2016,*,*,*
PASIR RIS,2016,*,"$405,000 ","$466,500 "
PUNGGOL,2016,*,"$445,000 ","$448,900 "
QUEENSTOWN,2016,"$354,000 ","$700,000 ",*
SEMBAWANG,2016,-,"$360,000 ","$415,000 "
SENGKANG,2016,*,"$420,000 ","$458,000 "
SERANGOON,2016,"$323,000 ","$425,000 ",*
TAMPINES,2016,"$330,000 ","$428,000 ","$528,000 "
TOA PAYOH,2016,"$300,000 ","$580,000 ","$727,500 "
WOODLANDS,2016,"$268,500 ","$358,000 ","$422,000 "
YISHUN,2016,"$288,000 ","$365,000 ","$457,900 "
ANG MO KIO,2016,"$318,000 ","$468,000 ","$650,000 "
BEDOK,2016,"$304,400 ","$399,800 ","$540,000 "
BISHAN,2016,*,"$575,000 ","$752,000 "
BUKIT BATOK,2016,"$285,500 ","$408,000 ",*
BUKIT MERAH,2016,"$365,000 ","$642,500 ","$776,000 "
BUKIT PANJANG,2016,"$290,000 ","$359,000 ","$456,500 "
BUKIT TIMAH,2016,*,*,*
CENTRAL,2016,*,"$620,000 ",*
CHOA CHU KANG,2016,*,"$357,000 ","$413,200 "
CLEMENTI,2016,"$340,000 ","$500,000 ",*
GEYLANG,2016,"$290,000 ","$467,500 ",*
HOUGANG,2016,"$302,800 ","$380,000 ","$490,000 "
JURONG EAST,2016,"$304,000 ","$420,000 ",*
JURONG WEST,2016,"$282,500 ","$380,000 ","$455,000 "
KALLANG/WHAMPOA,2016,"$354,000 ","$575,000 ","$787,500 "
MARINE PARADE,2016,*,*,*
PASIR RIS,2016,-,"$405,000 ","$470,000 "
PUNGGOL,2016,*,"$445,000 ","$450,000 "
QUEENSTOWN,2016,"$368,000 ","$685,000 ","$855,000 "
SEMBAWANG,2016,-,"$363,000 ","$415,000 "
SENGKANG,2016,*,"$415,900 ","$450,000 "
SERANGOON,2016,"$315,000 ","$434,500 ","$529,000 "
TAMPINES,2016,"$330,000 ","$423,000 ","$525,000 "
TOA PAYOH,2016,"$310,000 ","$620,000 ","$702,000 "
WOODLANDS,2016,"$270,000 ","$358,000 ","$430,000 "
YISHUN,2016,"$290,000 ","$370,000 ","$449,000 "
ANG MO KIO,2016,"$318,000 ","$465,000 ","$680,000 "
BEDOK,2016,"$300,000 ","$400,000 ","$573,000 "
BISHAN,2016,*,"$545,000 ","$739,000 "
BUKIT BATOK,2016,"$288,000 ","$400,000 ",*
BUKIT MERAH,2016,"$350,000 ","$605,000 ","$750,000 "
BUKIT PANJANG,2016,"$285,000 ","$356,600 ","$455,000 "
BUKIT TIMAH,2016,-,*,*
CENTRAL,2016,"$445,000 ",*,*
CHOA CHU KANG,2016,*,"$352,000 ","$416,500 "
CLEMENTI,2016,"$330,000 ","$514,000 ",*
GEYLANG,2016,"$275,000 ","$457,500 ",*
HOUGANG,2016,"$298,000 ","$383,900 ","$500,000 "
JURONG EAST,2016,"$300,000 ","$405,000 ","$607,000 "
JURONG WEST,2016,"$285,000 ","$384,000 ","$480,000 "
KALLANG/WHAMPOA,2016,"$342,000 ","$572,500 ",*
MARINE PARADE,2016,*,*,*
PASIR RIS,2016,-,"$402,000 ","$475,000 "
PUNGGOL,2016,*,"$435,000 ","$450,000 "
QUEENSTOWN,2016,"$358,000 ","$680,000 ",*
SEMBAWANG,2016,-,"$366,000 ","$416,500 "
SENGKANG,2016,*,"$410,000 ","$455,000 "
SERANGOON,2016,*,"$467,000 ",*
TAMPINES,2016,"$323,000 ","$423,400 ","$526,500 "
TOA PAYOH,2016,"$303,000 ","$510,000 ",*
WOODLANDS,2016,"$276,500 ","$360,000 ","$425,000 "
YISHUN,2016,"$289,000 ","$360,000 ","$460,000 "
ANG MO KIO,2015,"$318,000 ","$464,000 ","$648,000 "
BEDOK,2015,"$300,000 ","$415,000 ","$587,500 "
BISHAN,2015,*,"$535,000 ","$730,000 "
BUKIT BATOK,2015,"$280,000 ","$402,000 ","$538,500 "
BUKIT MERAH,2015,"$385,000 ","$640,000 ","$728,000 "
BUKIT PANJANG,2015,*,"$350,000 ","$449,400 "
BUKIT TIMAH,2015,*,*,*
CENTRAL,2015,"$425,000 ","$835,000 ",*
CHOA CHU KANG,2015,*,"$353,000 ","$416,500 "
CLEMENTI,2015,"$320,000 ","$535,000 ",*
GEYLANG,2015,"$288,000 ","$500,000 ",*
HOUGANG,2015,"$300,000 ","$398,000 ","$490,000 "
JURONG EAST,2015,"$303,000 ","$416,000 ",*
JURONG WEST,2015,"$287,500 ","$380,000 ","$458,000 "
KALLANG/WHAMPOA,2015,"$328,000 ","$546,000 ","$666,000 "
MARINE PARADE,2015,*,*,*
PASIR RIS,2015,-,"$397,000 ","$468,000 "
PUNGGOL,2015,*,"$420,000 ","$446,900 "
QUEENSTOWN,2015,"$367,500 ","$699,000 ",*
SEMBAWANG,2015,-,"$360,000 ","$420,000 "
SENGKANG,2015,*,"$402,900 ","$455,000 "
SERANGOON,2015,"$321,500 ","$428,000 ",*
TAMPINES,2015,"$320,000 ","$420,000 ","$519,700 "
TOA PAYOH,2015,"$303,000 ","$530,000 ","$770,000 "
WOODLANDS,2015,"$273,000 ","$365,000 ","$429,900 "
YISHUN,2015,"$290,000 ","$354,000 ","$450,000 "
ANG MO KIO,2015,"$320,000 ","$450,000 ","$633,000 "
BEDOK,2015,"$308,000 ","$408,000 ","$565,300 "
BISHAN,2015,*,"$537,500 ",*
BUKIT BATOK,2015,"$288,000 ","$410,000 ",*
BUKIT MERAH,2015,"$361,000 ","$670,000 ","$761,500 "
BUKIT PANJANG,2015,"$283,500 ","$365,000 ","$449,000 "
BUKIT TIMAH,2015,*,*,-
CENTRAL,2015,*,"$839,400 ",*
CHOA CHU KANG,2015,*,"$350,000 ","$415,500 "
CLEMENTI,2015,"$350,000 ","$507,500 ",*
GEYLANG,2015,"$280,000 ","$490,000 ","$600,000 "
HOUGANG,2015,"$300,000 ","$390,000 ","$481,500 "
JURONG EAST,2015,"$297,500 ","$400,000 ",*
JURONG WEST,2015,"$285,000 ","$373,000 ","$445,000 "
KALLANG/WHAMPOA,2015,"$310,000 ","$580,000 ",*
MARINE PARADE,2015,*,*,*
PASIR RIS,2015,*,"$407,500 ","$469,000 "
PUNGGOL,2015,*,"$410,000 ","$446,500 "
QUEENSTOWN,2015,"$370,300 ","$685,000 ",*
SEMBAWANG,2015,-,"$375,000 ","$420,000 "
SENGKANG,2015,*,"$409,000 ","$460,000 "
SERANGOON,2015,"$328,000 ","$485,000 ",*
TAMPINES,2015,"$328,000 ","$424,400 ","$515,500 "
TOA PAYOH,2015,"$315,000 ","$503,000 ","$645,000 "
WOODLANDS,2015,"$268,000 ","$355,000 ","$425,000 "
YISHUN,2015,"$290,000 ","$365,000 ","$455,000 "
ANG MO KIO,2015,"$313,500 ","$450,000 ","$640,000 "
BEDOK,2015,"$308,000 ","$410,000 ","$556,500 "
BISHAN,2015,*,"$530,000 ",*
BUKIT BATOK,2015,"$288,000 ","$407,000 ","$555,000 "
BUKIT MERAH,2015,"$376,900 ","$615,000 ","$783,500 "
BUKIT PANJANG,2015,"$295,000 ","$355,000 ","$472,500 "
BUKIT TIMAH,2015,*,*,*
CENTRAL,2015,*,"$855,000 ",*
CHOA CHU KANG,2015,*,"$355,000 ","$425,000 "
CLEMENTI,2015,"$340,000 ","$508,000 ",*
GEYLANG,2015,"$300,900 ","$453,000 ",*
HOUGANG,2015,"$308,000 ","$400,000 ","$500,000 "
JURONG EAST,2015,"$310,000 ","$411,000 ","$540,000 "
JURONG WEST,2015,"$285,000 ","$377,900 ","$455,000 "
KALLANG/WHAMPOA,2015,"$359,300 ","$520,000 ","$697,500 "
MARINE PARADE,2015,*,*,*
PASIR RIS,2015,*,"$400,000 ","$470,000 "
PUNGGOL,2015,-,"$420,000 ","$447,500 "
QUEENSTOWN,2015,"$380,000 ","$655,000 ",*
SEMBAWANG,2015,-,"$370,000 ","$418,000 "
SENGKANG,2015,*,"$412,000 ","$456,000 "
SERANGOON,2015,"$336,500 ","$460,000 ",*
TAMPINES,2015,"$330,000 ","$425,000 ","$521,000 "
TOA PAYOH,2015,"$310,000 ","$480,000 ",*
WOODLANDS,2015,"$274,500 ","$360,000 ","$425,000 "
YISHUN,2015,"$290,000 ","$358,000 ","$469,900 "
ANG MO KIO,2015,"$322,000 ","$467,500 ",*
BEDOK,2015,"$305,500 ","$415,000 ","$568,000 "
BISHAN,2015,*,"$520,000 ",*
BUKIT BATOK,2015,"$290,000 ","$416,500 ",*
BUKIT MERAH,2015,"$369,900 ","$615,000 ","$785,000 "
BUKIT PANJANG,2015,*,"$365,000 ","$450,000 "
BUKIT TIMAH,2015,*,*,*
CENTRAL,2015,*,"$850,000 ",*
CHOA CHU KANG,2015,*,"$366,500 ","$444,800 "
CLEMENTI,2015,"$345,000 ","$512,800 ",*
GEYLANG,2015,"$299,000 ","$490,000 ",*
HOUGANG,2015,"$305,000 ","$400,000 ","$501,500 "
JURONG EAST,2015,"$315,000 ","$415,000 ",*
JURONG WEST,2015,"$288,000 ","$373,000 ","$455,000 "
KALLANG/WHAMPOA,2015,"$360,000 ","$517,500 ",*
MARINE PARADE,2015,*,*,*
PASIR RIS,2015,*,"$410,000 ","$485,000 "
PUNGGOL,2015,-,"$430,000 ","$465,000 "
QUEENSTOWN,2015,"$362,500 ","$679,000 ",*
SEMBAWANG,2015,-,"$370,000 ","$428,000 "
SENGKANG,2015,*,"$420,000 ","$460,000 "
SERANGOON,2015,"$348,000 ","$453,000 ",*
TAMPINES,2015,"$333,000 ","$420,000 ","$525,000 "
TOA PAYOH,2015,"$320,000 ","$552,500 ",*
WOODLANDS,2015,"$275,000 ","$360,000 ","$425,000 "
YISHUN,2015,"$292,000 ","$360,000 ","$460,000 "
ANG MO KIO,2014,"$335,000 ","$451,000 ",*
BEDOK,2014,"$315,000 ","$425,000 ","$573,000 "
BISHAN,2014,*,"$525,000 ","$717,500 "
BUKIT BATOK,2014,"$294,500 ","$418,000 ",*
BUKIT MERAH,2014,"$375,000 ","$610,000 ","$775,000 "
BUKIT PANJANG,2014,*,"$368,000 ","$482,500 "
BUKIT TIMAH,2014,*,*,*
CENTRAL,2014,*,*,*
CHOA CHU KANG,2014,*,"$377,000 ","$437,500 "
CLEMENTI,2014,"$340,000 ","$497,500 ",*
GEYLANG,2014,"$301,000 ","$425,000 ",*
HOUGANG,2014,"$310,000 ","$400,000 ","$512,500 "
JURONG EAST,2014,"$310,000 ","$430,000 ","$507,500 "
JURONG WEST,2014,"$295,000 ","$391,000 ","$460,000 "
KALLANG/WHAMPOA,2014,"$333,800 ","$515,000 ",*
MARINE PARADE,2014,"$410,400 ",*,*
PASIR RIS,2014,*,"$418,000 ","$490,000 "
PUNGGOL,2014,-,"$420,000 ","$460,900 "
QUEENSTOWN,2014,"$389,000 ","$667,500 ",*
SEMBAWANG,2014,-,"$380,000 ","$429,000 "
SENGKANG,2014,*,"$423,000 ","$462,300 "
SERANGOON,2014,"$335,000 ","$455,000 ",*
TAMPINES,2014,"$340,000 ","$435,000 ","$530,000 "
TOA PAYOH,2014,"$328,000 ","$583,500 ",*
WOODLANDS,2014,"$285,000 ","$375,000 ","$430,000 "
YISHUN,2014,"$296,000 ","$357,000 ","$455,000 "
ANG MO KIO,2014,"$338,000 ","$465,000 ",*
BEDOK,2014,"$320,000 ","$425,000 ","$614,000 "
BISHAN,2014,*,"$525,000 ",*
BUKIT BATOK,2014,"$301,500 ","$420,000 ",*
BUKIT MERAH,2014,"$378,000 ","$660,000 ","$786,500 "
BUKIT PANJANG,2014,"$312,500 ","$388,000 ","$461,500 "
BUKIT TIMAH,2014,*,-,*
CENTRAL,2014,"$432,500 ",*,*
CHOA CHU KANG,2014,*,"$380,000 ","$468,000 "
CLEMENTI,2014,"$365,000 ","$520,000 ",*
GEYLANG,2014,"$300,000 ",*,*
HOUGANG,2014,"$318,000 ","$415,000 ","$513,500 "
JURONG EAST,2014,"$320,000 ","$390,000 ",*
JURONG WEST,2014,"$305,000 ","$390,000 ","$470,000 "
KALLANG/WHAMPOA,2014,"$350,000 ","$570,000 ","$670,000 "
MARINE PARADE,2014,*,*,*
PASIR RIS,2014,*,"$422,300 ","$501,500 "
PUNGGOL,2014,-,"$433,000 ","$476,500 "
QUEENSTOWN,2014,"$368,000 ","$705,000 ",*
SEMBAWANG,2014,-,"$396,500 ","$448,000 "
SENGKANG,2014,*,"$448,000 ","$479,500 "
SERANGOON,2014,"$360,000 ","$475,000 ",*
TAMPINES,2014,"$347,500 ","$445,000 ","$532,000 "
TOA PAYOH,2014,"$340,000 ","$540,000 ",*
WOODLANDS,2014,"$283,000 ","$380,000 ","$436,300 "
YISHUN,2014,"$305,000 ","$368,000 ","$475,000 "
ANG MO KIO,2014,"$355,000 ","$478,000 ","$635,000 "
BEDOK,2014,"$335,000 ","$435,000 ","$575,000 "
BISHAN,2014,*,"$516,500 ",*
BUKIT BATOK,2014,"$320,000 ","$418,000 ","$585,000 "
BUKIT MERAH,2014,"$390,000 ","$645,000 ","$780,000 "
BUKIT PANJANG,2014,*,"$400,000 ","$478,400 "
BUKIT TIMAH,2014,*,*,*
CENTRAL,2014,*,*,-
CHOA CHU KANG,2014,*,"$395,000 ","$488,000 "
CLEMENTI,2014,"$373,000 ","$516,500 ",*
GEYLANG,2014,"$311,500 ","$507,900 ",*
HOUGANG,2014,"$325,000 ","$431,500 ","$521,400 "
JURONG EAST,2014,"$323,000 ",*,"$604,000 "
JURONG WEST,2014,"$313,000 ","$400,000 ","$480,000 "
KALLANG/WHAMPOA,2014,"$343,000 ","$530,000 ",*
MARINE PARADE,2014,"$400,000 ",*,*
PASIR RIS,2014,-,"$428,000 ","$504,000 "
PUNGGOL,2014,-,"$462,500 ","$506,800 "
QUEENSTOWN,2014,"$357,000 ","$700,000 ",*
SEMBAWANG,2014,-,"$400,000 ","$465,000 "
SENGKANG,2014,*,"$440,000 ","$495,500 "
SERANGOON,2014,"$356,800 ","$455,000 ",*
TAMPINES,2014,"$355,000 ","$456,500 ","$555,000 "
TOA PAYOH,2014,"$330,000 ","$590,000 ",*
WOODLANDS,2014,"$314,500 ","$384,500 ","$450,000 "
YISHUN,2014,"$311,000 ","$380,000 ","$475,000 "
ANG MO KIO,2014,"$345,000 ","$482,000 ",*
BEDOK,2014,"$332,000 ","$446,000 ","$559,000 "
BISHAN,2014,*,"$509,000 ",*
BUKIT BATOK,2014,"$320,000 ","$425,300 ",*
BUKIT MERAH,2014,"$393,000 ","$650,900 ","$759,000 "
BUKIT PANJANG,2014,*,"$409,000 ","$470,000 "
BUKIT TIMAH,2014,*,-,*
CENTRAL,2014,*,*,-
CHOA CHU KANG,2014,*,"$411,000 ","$490,500 "
CLEMENTI,2014,"$350,000 ","$517,500 ",*
GEYLANG,2014,"$301,900 ","$520,000 ",*
HOUGANG,2014,"$348,500 ","$440,000 ","$550,000 "
JURONG EAST,2014,"$331,000 ","$439,000 ",*
JURONG WEST,2014,"$318,900 ","$412,300 ","$490,000 "
KALLANG/WHAMPOA,2014,"$345,000 ","$530,000 ",*
MARINE PARADE,2014,*,*,*
PASIR RIS,2014,*,"$440,500 ","$510,000 "
PUNGGOL,2014,-,"$475,500 ","$515,000 "
QUEENSTOWN,2014,"$369,000 ","$690,000 ",*
SEMBAWANG,2014,-,"$410,000 ","$473,000 "
SENGKANG,2014,*,"$450,000 ","$498,000 "
SERANGOON,2014,"$355,500 ","$475,000 ",*
TAMPINES,2014,"$365,000 ","$457,400 ","$550,000 "
TOA PAYOH,2014,"$340,000 ","$536,500 ",*
WOODLANDS,2014,"$300,000 ","$390,000 ","$460,000 "
YISHUN,2014,"$318,000 ","$386,500 ",*
ANG MO KIO,2013,"$356,000 ","$485,000 ",*
BEDOK,2013,"$343,500 ","$450,000 ","$600,000 "
BISHAN,2013,*,"$545,000 ",*
BUKIT BATOK,2013,"$326,000 ","$437,000 ","$588,000 "
BUKIT MERAH,2013,"$398,000 ","$652,000 ","$782,000 "
BUKIT PANJANG,2013,*,"$421,000 ","$485,000 "
BUKIT TIMAH,2013,*,*,*
CENTRAL,2013,*,*,*
CHOA CHU KANG,2013,*,"$420,900 ","$482,500 "
CLEMENTI,2013,"$356,000 ","$519,400 ",*
GEYLANG,2013,"$315,000 ","$496,000 ",*
HOUGANG,2013,"$343,000 ","$445,000 ","$536,000 "
JURONG EAST,2013,"$337,000 ","$438,000 ",*
JURONG WEST,2013,"$328,000 ","$415,000 ","$492,000 "
KALLANG/WHAMPOA,2013,"$359,500 ","$565,000 ",*
MARINE PARADE,2013,*,*,*
PASIR RIS,2013,*,"$445,000 ","$526,500 "
PUNGGOL,2013,-,"$480,000 ","$535,000 "
QUEENSTOWN,2013,"$408,000 ","$710,900 ",*
SEMBAWANG,2013,-,"$432,000 ","$492,000 "
SENGKANG,2013,*,"$480,000 ","$523,000 "
SERANGOON,2013,"$367,000 ","$488,000 ",*
TAMPINES,2013,"$364,000 ","$468,000 ","$543,000 "
TOA PAYOH,2013,"$343,000 ","$541,500 ",*
WOODLANDS,2013,"$317,500 ","$402,500 ","$460,000 "
YISHUN,2013,"$322,000 ","$398,000 ","$505,000 "
ANG MO KIO,2013,"$362,300 ","$492,000 ",*
BEDOK,2013,"$346,000 ","$447,000 ","$625,000 "
BISHAN,2013,*,"$551,500 ",*
BUKIT BATOK,2013,"$337,800 ","$445,000 ",*
BUKIT MERAH,2013,"$408,900 ","$671,500 ","$820,000 "
BUKIT PANJANG,2013,*,"$428,000 ","$522,000 "
BUKIT TIMAH,2013,*,*,-
CENTRAL,2013,*,*,*
CHOA CHU KANG,2013,*,"$430,000 ","$496,000 "
CLEMENTI,2013,"$361,500 ","$546,500 ",*
GEYLANG,2013,"$321,000 ","$477,300 ",*
HOUGANG,2013,"$355,000 ","$446,500 ","$549,000 "
JURONG EAST,2013,"$345,800 ","$435,000 ","$580,000 "
JURONG WEST,2013,"$333,000 ","$430,000 ","$522,900 "
KALLANG/WHAMPOA,2013,"$359,500 ","$539,000 ",*
MARINE PARADE,2013,*,*,*
PASIR RIS,2013,-,"$455,000 ","$523,500 "
PUNGGOL,2013,-,"$482,500 ","$542,500 "
QUEENSTOWN,2013,"$391,800 ","$693,800 ",*
SEMBAWANG,2013,-,"$426,000 ","$490,000 "
SENGKANG,2013,*,"$486,500 ","$532,000 "
SERANGOON,2013,"$372,500 ","$500,000 ",*
TAMPINES,2013,"$376,000 ","$473,000 ","$548,000 "
TOA PAYOH,2013,"$359,000 ","$603,000 ","$712,500 "
