Town,financial_year,3-Room,4-Room,5-Room
WOODLANDS,2013,"$320,000 ","$415,000 ","$473,000 "
YISHUN,2013,"$337,000 ","$404,000 ","$515,000 "
ANG MO KIO,2013,"$368,000 ","$488,000 ","$667,500 "
BEDOK,2013,"$355,000 ","$459,000 ","$620,000 "
BISHAN,2013,*,"$555,000 ","$740,000 "
BUKIT BATOK,2013,"$336,000 ","$443,000 ","$640,000 "
BUKIT MERAH,2013,"$412,000 ","$704,000 ","$775,000 "
BUKIT PANJANG,2013,"$348,500 ","$425,000 ","$545,500 "
BUKIT TIMAH,2013,*,*,*
CENTRAL,2013,*,*,-
CHOA CHU KANG,2013,*,"$440,000 ","$510,000 "
CLEMENTI,2013,"$390,000 ","$547,500 ",*
GEYLANG,2013,"$330,000 ","$512,500 ",*
HOUGANG,2013,"$350,500 ","$451,000 ","$555,000 "
JURONG EAST,2013,"$350,000 ","$455,000 ","$542,000 "
JURONG WEST,2013,"$320,000 ","$445,000 ","$515,000 "
KALLANG/WHAMPOA,2013,"$349,000 ","$547,500 ","$717,500 "
MARINE PARADE,2013,*,*,*
PASIR RIS,2013,*,"$466,500 ","$535,000 "
PUNGGOL,2013,-,"$506,000 ","$560,000 "
QUEENSTOWN,2013,"$380,000 ","$710,000 ",*
SEMBAWANG,2013,-,"$441,000 ","$498,500 "
SENGKANG,2013,*,"$501,500 ","$538,500 "
SERANGOON,2013,"$378,500 ","$470,000 ",*
TAMPINES,2013,"$376,500 ","$480,000 ","$558,000 "
TOA PAYOH,2013,"$359,500 ","$645,000 ","$750,000 "
WOODLANDS,2013,"$330,000 ","$422,500 ","$480,000 "
YISHUN,2013,"$341,000 ","$416,500 ","$515,000 "
ANG MO KIO,2013,"$366,000 ","$495,000 ","$649,000 "
BEDOK,2013,"$350,000 ","$455,000 ","$600,000 "
BISHAN,2013,*,"$532,500 ",*
BUKIT BATOK,2013,"$339,000 ","$448,000 ",*
BUKIT MERAH,2013,"$398,000 ","$675,000 ","$800,000 "
BUKIT PANJANG,2013,*,"$423,000 ","$520,000 "
BUKIT TIMAH,2013,*,*,*
CENTRAL,2013,*,*,-
CHOA CHU KANG,2013,*,"$436,900 ","$499,800 "
CLEMENTI,2013,"$378,500 ",*,*
GEYLANG,2013,"$326,500 ","$501,000 ",*
HOUGANG,2013,"$359,000 ","$446,000 ","$548,000 "
JURONG EAST,2013,"$343,000 ","$455,000 ","$592,900 "
JURONG WEST,2013,"$338,000 ","$432,000 ","$513,000 "
KALLANG/WHAMPOA,2013,"$377,500 ","$530,000 ",*
MARINE PARADE,2013,*,*,*
PASIR RIS,2013,*,"$459,000 ","$546,800 "
PUNGGOL,2013,-,"$518,000 ","$565,000 "
QUEENSTOWN,2013,"$365,000 ","$679,000 ",*
SEMBAWANG,2013,-,"$446,000 ","$500,000 "
SENGKANG,2013,*,"$486,000 ","$535,000 "
SERANGOON,2013,*,"$471,500 ",*
TAMPINES,2013,"$375,500 ","$481,200 ","$565,000 "
TOA PAYOH,2013,"$355,000 ","$592,000 ","$781,900 "
WOODLANDS,2013,"$332,000 ","$420,000 ","$480,000 "
YISHUN,2013,"$340,000 ","$411,000 ","$522,000 "
ANG MO KIO,2012,"$363,000 ","$489,000 ","$640,000 "
BEDOK,2012,"$348,000 ","$445,000 ","$613,000 "
BISHAN,2012,*,"$527,500 ","$687,000 "
BUKIT BATOK,2012,"$329,000 ","$448,500 ","$618,000 "
BUKIT MERAH,2012,"$388,000 ","$660,000 ","$765,000 "
BUKIT PANJANG,2012,"$347,000 ","$418,000 ","$490,000 "
BUKIT TIMAH,2012,*,*,*
CENTRAL,2012,*,*,*
CHOA CHU KANG,2012,*,"$432,400 ","$495,000 "
CLEMENTI,2012,"$375,000 ","$550,000 ",*
GEYLANG,2012,"$328,000 ","$485,000 ",*
HOUGANG,2012,"$350,000 ","$454,000 ","$538,000 "
JURONG EAST,2012,"$341,000 ","$453,000 ","$550,000 "
JURONG WEST,2012,"$331,000 ","$430,000 ","$510,500 "
KALLANG/WHAMPOA,2012,"$369,500 ","$561,500 ","$676,500 "
MARINE PARADE,2012,*,*,*
PASIR RIS,2012,*,"$455,000 ","$535,000 "
PUNGGOL,2012,-,"$515,000 ","$560,000 "
QUEENSTOWN,2012,"$388,000 ","$710,000 ",*
SEMBAWANG,2012,-,"$438,000 ","$491,500 "
SENGKANG,2012,*,"$468,000 ","$525,500 "
SERANGOON,2012,"$365,000 ","$487,500 ",*
TAMPINES,2012,"$375,000 ","$475,000 ","$550,000 "
TOA PAYOH,2012,"$366,000 ","$556,400 ","$698,000 "
WOODLANDS,2012,"$316,500 ","$415,000 ","$470,000 "
YISHUN,2012,"$335,000 ","$414,000 ","$510,000 "
ANG MO KIO,2012,"$357,000 ","$473,000 ","$652,500 "
BEDOK,2012,"$342,000 ","$437,500 ","$585,000 "
BISHAN,2012,*,"$511,000 ","$687,000 "
BUKIT BATOK,2012,"$327,500 ","$430,000 ","$586,900 "
BUKIT MERAH,2012,"$392,500 ","$617,000 ","$754,000 "
BUKIT PANJANG,2012,"$345,000 ","$413,000 ","$500,000 "
BUKIT TIMAH,2012,*,*,*
CENTRAL,2012,"$442,500 ",*,*
CHOA CHU KANG,2012,*,"$425,000 ","$486,000 "
CLEMENTI,2012,"$388,000 ","$489,000 ",*
GEYLANG,2012,"$314,000 ","$466,000 ",*
HOUGANG,2012,"$340,500 ","$435,000 ","$523,000 "
JURONG EAST,2012,"$343,000 ","$437,500 ",*
JURONG WEST,2012,"$324,000 ","$423,000 ","$497,500 "
KALLANG/WHAMPOA,2012,"$347,000 ","$525,000 ","$657,500 "
MARINE PARADE,2012,"$410,000 ",*,*
PASIR RIS,2012,*,"$445,000 ","$530,000 "
PUNGGOL,2012,-,"$482,000 ","$550,000 "
QUEENSTOWN,2012,"$388,000 ","$690,000 ",*
SEMBAWANG,2012,-,"$425,000 ","$480,000 "
SENGKANG,2012,*,"$466,500 ","$518,000 "
SERANGOON,2012,"$345,000 ","$480,000 ","$552,000 "
TAMPINES,2012,"$375,000 ","$462,500 ","$536,000 "
TOA PAYOH,2012,"$353,000 ","$541,500 ","$682,500 "
WOODLANDS,2012,"$311,500 ","$405,000 ","$461,000 "
YISHUN,2012,"$325,000 ","$400,000 ","$498,000 "
ANG MO KIO,2012,"$346,000 ","$460,000 ","$620,000 "
BEDOK,2012,"$335,500 ","$432,000 ","$576,500 "
BISHAN,2012,"$335,000 ","$509,000 ","$658,500 "
BUKIT BATOK,2012,"$323,000 ","$428,000 ","$591,900 "
BUKIT MERAH,2012,"$384,500 ","$595,000 ","$750,500 "
BUKIT PANJANG,2012,"$338,000 ","$410,000 ","$481,800 "
BUKIT TIMAH,2012,*,*,*
CENTRAL,2012,"$440,000 ",*,*
CHOA CHU KANG,2012,*,"$420,000 ","$481,500 "
CLEMENTI,2012,"$376,500 ","$500,000 ",*
GEYLANG,2012,"$308,000 ","$457,000 ","$682,500 "
HOUGANG,2012,"$335,000 ","$428,000 ","$515,000 "
JURONG EAST,2012,"$337,000 ","$430,000 ","$517,500 "
JURONG WEST,2012,"$308,500 ","$414,000 ","$491,000 "
KALLANG/WHAMPOA,2012,"$355,000 ","$502,000 ","$668,400 "
MARINE PARADE,2012,"$399,000 ",*,*
PASIR RIS,2012,*,"$439,400 ","$510,000 "
PUNGGOL,2012,-,"$475,500 ","$533,000 "
QUEENSTOWN,2012,"$375,500 ","$638,000 ",*
SEMBAWANG,2012,-,"$419,000 ","$468,000 "
SENGKANG,2012,-,"$447,000 ","$513,900 "
SERANGOON,2012,"$335,500 ","$488,000 ",*
TAMPINES,2012,"$367,000 ","$453,000 ","$530,000 "
TOA PAYOH,2012,"$350,000 ","$534,000 ","$684,000 "
WOODLANDS,2012,"$310,000 ","$395,000 ","$455,000 "
YISHUN,2012,"$321,500 ","$386,000 ","$492,000 "
ANG MO KIO,2012,"$350,000 ","$455,000 ","$621,500 "
BEDOK,2012,"$330,000 ","$422,400 ","$560,000 "
BISHAN,2012,*,"$520,500 ","$678,500 "
BUKIT BATOK,2012,"$320,000 ","$416,500 ","$520,000 "
BUKIT MERAH,2012,"$373,500 ","$590,000 ","$729,000 "
BUKIT PANJANG,2012,*,"$408,000 ","$486,500 "
BUKIT TIMAH,2012,-,*,*
CENTRAL,2012,"$460,000 ",*,*
CHOA CHU KANG,2012,*,"$410,000 ","$485,000 "
CLEMENTI,2012,"$375,000 ","$495,000 ",*
GEYLANG,2012,"$310,000 ","$462,000 ",*
HOUGANG,2012,"$335,000 ","$425,000 ","$514,000 "
JURONG EAST,2012,"$330,000 ","$420,000 ","$528,000 "
JURONG WEST,2012,"$312,000 ","$412,000 ","$478,000 "
KALLANG/WHAMPOA,2012,"$330,000 ","$513,000 ",*
MARINE PARADE,2012,*,*,*
PASIR RIS,2012,*,"$432,000 ","$507,000 "
PUNGGOL,2012,-,"$474,000 ","$523,500 "
QUEENSTOWN,2012,"$365,000 ","$655,000 ",*
SEMBAWANG,2012,-,"$421,500 ","$466,000 "
SENGKANG,2012,*,"$450,000 ","$512,600 "
SERANGOON,2012,"$350,000 ","$466,000 ",*
TAMPINES,2012,"$362,000 ","$448,000 ","$523,000 "
TOA PAYOH,2012,"$338,000 ","$565,000 ","$721,500 "
WOODLANDS,2012,"$305,000 ","$392,000 ","$445,000 "
YISHUN,2012,"$319,000 ","$384,000 ","$487,100 "
ANG MO KIO,2011,"$341,500 ","$468,000 ","$606,400 "
BEDOK,2011,"$331,500 ","$430,000 ","$545,000 "
BISHAN,2011,*,"$500,000 ","$650,000 "
BUKIT BATOK,2011,"$320,000 ","$427,000 ","$546,000 "
BUKIT MERAH,2011,"$376,500 ","$578,500 ","$712,000 "
BUKIT PANJANG,2011,*,"$404,900 ","$482,900 "
BUKIT TIMAH,2011,*,*,*
CENTRAL,2011,"$426,500 ",*,*
CHOA CHU KANG,2011,*,"$409,500 ","$465,000 "
CLEMENTI,2011,"$361,300 ","$506,000 ",*
GEYLANG,2011,"$313,000 ","$495,000 ",*
HOUGANG,2011,"$331,500 ","$423,000 ","$517,500 "
JURONG EAST,2011,"$325,000 ","$415,500 ","$495,000 "
JURONG WEST,2011,"$300,000 ","$400,500 ","$475,000 "
KALLANG/WHAMPOA,2011,"$345,000 ","$515,500 ","$639,000 "
MARINE PARADE,2011,*,*,*
PASIR RIS,2011,-,"$439,000 ","$500,000 "
PUNGGOL,2011,-,"$475,000 ","$521,500 "
QUEENSTOWN,2011,"$370,000 ","$651,000 ",*
SEMBAWANG,2011,-,"$415,000 ","$465,000 "
SENGKANG,2011,-,"$450,000 ","$511,000 "
SERANGOON,2011,"$340,000 ","$467,500 ","$565,000 "
TAMPINES,2011,"$356,000 ","$450,000 ","$525,000 "
TOA PAYOH,2011,"$348,000 ","$481,500 ","$645,000 "
WOODLANDS,2011,"$302,500 ","$392,000 ","$446,500 "
YISHUN,2011,"$312,000 ","$382,000 ","$487,000 "
ANG MO KIO,2011,"$340,800 ","$445,500 ","$599,000 "
BEDOK,2011,"$325,500 ","$420,000 ","$530,000 "
BISHAN,2011,*,"$527,000 ","$647,300 "
BUKIT BATOK,2011,"$314,500 ","$421,000 ","$568,000 "
BUKIT MERAH,2011,"$374,000 ","$595,900 ","$715,000 "
BUKIT PANJANG,2011,"$320,000 ","$394,000 ","$475,000 "
BUKIT TIMAH,2011,*,*,*
CENTRAL,2011,*,*,*
CHOA CHU KANG,2011,*,"$406,500 ","$458,000 "
CLEMENTI,2011,"$365,000 ","$500,000 ",*
GEYLANG,2011,"$308,000 ","$461,500 ","$638,000 "
HOUGANG,2011,"$325,000 ","$420,000 ","$505,000 "
JURONG EAST,2011,"$321,000 ","$430,000 ","$506,500 "
JURONG WEST,2011,"$310,000 ","$404,500 ","$470,000 "
KALLANG/WHAMPOA,2011,"$330,000 ","$480,000 ","$630,000 "
MARINE PARADE,2011,"$413,500 ",*,*
PASIR RIS,2011,*,"$427,000 ","$487,500 "
PUNGGOL,2011,-,"$460,400 ","$518,000 "
QUEENSTOWN,2011,"$352,500 ",*,*
SEMBAWANG,2011,-,"$403,000 ","$453,500 "
SENGKANG,2011,-,"$450,000 ","$503,000 "
SERANGOON,2011,"$330,000 ","$439,000 ","$520,000 "
TAMPINES,2011,"$348,000 ","$445,000 ","$521,500 "
TOA PAYOH,2011,"$338,000 ","$540,000 ","$666,000 "
WOODLANDS,2011,"$300,000 ","$382,500 ","$435,000 "
YISHUN,2011,"$307,000 ","$377,000 ","$460,000 "
ANG MO KIO,2011,"$330,000 ","$423,000 ","$610,000 "
BEDOK,2011,"$311,500 ","$401,000 ","$550,000 "
BISHAN,2011,*,"$493,000 ","$630,000 "
BUKIT BATOK,2011,"$300,000 ","$401,000 ","$566,500 "
BUKIT MERAH,2011,"$350,000 ","$589,000 ","$696,000 "
BUKIT PANJANG,2011,"$300,000 ","$381,000 ","$449,500 "
BUKIT TIMAH,2011,*,*,*
CENTRAL,2011,"$411,000 ",*,*
CHOA CHU KANG,2011,*,"$388,000 ","$440,500 "
CLEMENTI,2011,"$350,000 ","$475,000 ",*
GEYLANG,2011,"$295,000 ","$471,000 ","$651,500 "
HOUGANG,2011,"$311,000 ","$398,000 ","$480,000 "
JURONG EAST,2011,"$311,500 ","$404,000 ","$500,900 "
JURONG WEST,2011,"$286,000 ","$390,000 ","$454,000 "
KALLANG/WHAMPOA,2011,"$336,500 ","$480,250 ","$605,000 "
MARINE PARADE,2011,*,*,*
PASIR RIS,2011,*,"$415,000 ","$485,000 "
PUNGGOL,2011,-,"$445,000 ","$505,000 "
QUEENSTOWN,2011,"$336,000 ","$644,000 ",*
SEMBAWANG,2011,-,"$395,000 ","$440,000 "
SENGKANG,2011,-,"$425,500 ","$485,000 "
SERANGOON,2011,"$324,500 ","$410,000 ","$507,000 "
TAMPINES,2011,"$340,000 ","$433,000 ","$498,000 "
TOA PAYOH,2011,"$323,800 ","$509,000 ","$662,000 "
WOODLANDS,2011,"$285,000 ","$368,000 ","$420,000 "
YISHUN,2011,"$297,500 ","$358,000 ","$453,000 "
ANG MO KIO,2011,"$318,000 ","$418,000 ","$590,800 "
BEDOK,2011,"$300,000 ","$397,000 ","$512,000 "
BISHAN,2011,*,"$463,000 ","$615,000 "
BUKIT BATOK,2011,"$293,000 ","$382,000 ","$548,400 "
BUKIT MERAH,2011,"$343,500 ","$555,000 ","$690,000 "
BUKIT PANJANG,2011,"$298,000 ","$369,000 ","$425,000 "
BUKIT TIMAH,2011,*,*,*
CENTRAL,2011,*,*,*
CHOA CHU KANG,2011,*,"$373,500 ","$437,300 "
CLEMENTI,2011,"$341,000 ","$495,000 ",*
GEYLANG,2011,"$285,000 ","$458,000 ",*
HOUGANG,2011,"$305,000 ","$388,000 ","$465,000 "
JURONG EAST,2011,"$305,000 ","$378,000 ","$475,000 "
JURONG WEST,2011,"$271,500 ","$377,000 ","$451,500 "
KALLANG/WHAMPOA,2011,"$317,000 ","$465,000 ",*
MARINE PARADE,2011,*,*,*
PASIR RIS,2011,*,"$400,000 ","$468,000 "
PUNGGOL,2011,-,"$426,400 ","$494,000 "
QUEENSTOWN,2011,"$330,000 ","$573,000 ",*
SEMBAWANG,2011,-,"$390,000 ","$423,900 "
SENGKANG,2011,-,"$411,500 ","$467,000 "
SERANGOON,2011,"$317,000 ","$399,500 ",*
TAMPINES,2011,"$326,000 ","$412,000 ","$472,300 "
TOA PAYOH,2011,"$315,000 ","$456,500 ","$630,000 "
WOODLANDS,2011,"$275,000 ","$356,000 ","$409,000 "
YISHUN,2011,"$285,000 ","$342,000 ","$440,000 "
ANG MO KIO,2010,"$310,000 ","$418,000 ","$580,000 "
BEDOK,2010,"$300,000 ","$384,000 ","$504,000 "
BISHAN,2010,*,"$460,000 ","$593,000 "
BUKIT BATOK,2010,"$290,000 ","$385,000 ","$539,000 "
BUKIT MERAH,2010,"$345,000 ","$558,000 ","$662,000 "
BUKIT PANJANG,2010,"$287,400 ","$351,500 ","$457,000 "
BUKIT TIMAH,2010,*,*,*
CENTRAL,2010,"$386,000 ",*,*
CHOA CHU KANG,2010,*,"$369,000 ","$425,000 "
CLEMENTI,2010,"$340,400 ","$462,500 ",*
GEYLANG,2010,"$276,000 ","$450,000 ",*
HOUGANG,2010,"$292,000 ","$384,000 ","$459,000 "
JURONG EAST,2010,"$293,000 ","$372,000 ","$456,500 "
JURONG WEST,2010,"$276,000 ","$370,000 ","$445,500 "
KALLANG/WHAMPOA,2010,"$314,000 ","$465,000 ","$584,000 "
MARINE PARADE,2010,"$393,000 ",*,*
PASIR RIS,2010,*,"$395,000 ","$448,000 "
PUNGGOL,2010,-,"$405,000 ","$480,000 "
QUEENSTOWN,2010,"$331,500 ","$617,000 ",*
SEMBAWANG,2010,-,"$380,000 ","$425,000 "
SENGKANG,2010,-,"$410,000 ","$465,000 "
SERANGOON,2010,"$308,000 ","$404,400 ","$489,000 "
TAMPINES,2010,"$316,000 ","$400,000 ","$474,000 "
TOA PAYOH,2010,"$318,000 ","$475,000 ","$586,000 "
WOODLANDS,2010,"$264,500 ","$348,000 ","$404,500 "
YISHUN,2010,"$280,000 ","$337,000 ","$426,000 "
ANG MO KIO,2010,"$305,000 ","$408,000 ","$589,000 "
BEDOK,2010,"$292,000 ","$372,500 ","$500,000 "
BISHAN,2010,"$362,000 ","$470,000 ","$572,000 "
BUKIT BATOK,2010,"$280,000 ","$380,000 ","$532,000 "
BUKIT MERAH,2010,"$338,000 ","$542,000 ","$673,000 "
BUKIT PANJANG,2010,"$285,000 ","$346,000 ","$415,000 "
BUKIT TIMAH,2010,*,*,*
CENTRAL,2010,"$365,000 ",*,*
CHOA CHU KANG,2010,*,"$363,500 ","$420,000 "
CLEMENTI,2010,"$330,000 ","$461,500 ","$566,500 "
GEYLANG,2010,"$278,000 ","$394,800 ","$552,500 "
HOUGANG,2010,"$288,000 ","$368,000 ","$450,000 "
JURONG EAST,2010,"$288,000 ","$386,900 ","$488,500 "
JURONG WEST,2010,"$270,000 ","$361,000 ","$439,500 "
KALLANG/WHAMPOA,2010,"$300,000 ","$472,500 ","$581,000 "
MARINE PARADE,2010,"$379,000 ",*,*
PASIR RIS,2010,-,"$388,500 ","$441,000 "
PUNGGOL,2010,-,"$414,000 ","$465,000 "
QUEENSTOWN,2010,"$320,000 ","$584,000 ","$720,000 "
SEMBAWANG,2010,-,"$380,000 ","$423,000 "
SENGKANG,2010,-,"$389,500 ","$453,000 "
SERANGOON,2010,"$292,000 ","$393,300 ","$464,500 "
TAMPINES,2010,"$313,000 ","$395,000 ","$461,500 "
TOA PAYOH,2010,"$310,000 ","$390,000 ","$576,500 "
WOODLANDS,2010,"$260,000 ","$342,900 ","$398,000 "
YISHUN,2010,"$280,000 ","$330,000 ","$415,000 "
ANG MO KIO,2010,"$290,000 ","$389,500 ","$550,000 "
BEDOK,2010,"$280,000 ","$367,000 ","$490,000 "
BISHAN,2010,"$338,000 ","$452,500 ","$590,000 "
BUKIT BATOK,2010,"$271,700 ","$366,000 ","$520,000 "
BUKIT MERAH,2010,"$320,000 ","$500,000 ","$661,500 "
BUKIT PANJANG,2010,"$275,000 ","$340,000 ","$406,500 "
BUKIT TIMAH,2010,*,*,*
CENTRAL,2010,"$372,500 ",*,*
CHOA CHU KANG,2010,*,"$348,000 ","$410,000 "
CLEMENTI,2010,"$315,000 ","$435,000 ","$557,500 "
GEYLANG,2010,"$261,000 ","$398,000 ","$546,000 "
HOUGANG,2010,"$273,000 ","$361,500 ","$438,000 "
JURONG EAST,2010,"$277,000 ","$348,000 ","$472,500 "
JURONG WEST,2010,"$255,000 ","$350,000 ","$415,000 "
KALLANG/WHAMPOA,2010,"$295,000 ","$430,000 ","$565,000 "
MARINE PARADE,2010,"$370,000 ",*,*
PASIR RIS,2010,*,"$376,300 ","$419,500 "
PUNGGOL,2010,-,"$388,000 ","$448,400 "
QUEENSTOWN,2010,"$320,000 ","$550,000 ","$675,000 "
SEMBAWANG,2010,-,"$360,000 ","$407,500 "
SENGKANG,2010,-,"$388,000 ","$437,000 "
SERANGOON,2010,"$286,000 ","$380,000 ","$447,000 "
TAMPINES,2010,"$302,800 ","$387,000 ","$445,000 "
TOA PAYOH,2010,"$300,000 ","$450,000 ","$583,000 "
WOODLANDS,2010,"$250,000 ","$331,500 ","$389,500 "
YISHUN,2010,"$265,000 ","$315,000 ","$405,900 "
ANG MO KIO,2010,"$278,000 ","$384,500 ","$503,000 "
BEDOK,2010,"$265,000 ","$350,000 ","$480,000 "
BISHAN,2010,"$322,000 ","$433,500 ","$550,000 "
BUKIT BATOK,2010,"$265,000 ","$372,000 ","$485,000 "
BUKIT MERAH,2010,"$309,500 ","$493,000 ","$635,000 "
BUKIT PANJANG,2010,"$260,000 ","$320,000 ","$393,000 "
BUKIT TIMAH,2010,*,*,*
CENTRAL,2010,"$354,000 ","$456,000 ",*
CHOA CHU KANG,2010,*,"$336,000 ","$399,000 "
CLEMENTI,2010,"$288,500 ","$429,000 ",*
GEYLANG,2010,"$252,500 ","$397,500 ","$498,500 "
HOUGANG,2010,"$260,000 ","$345,000 ","$427,000 "
JURONG EAST,2010,"$268,000 ","$342,000 ","$460,000 "
JURONG WEST,2010,"$243,500 ","$336,000 ","$413,000 "
KALLANG/WHAMPOA,2010,"$275,000 ","$438,800 ","$560,500 "
MARINE PARADE,2010,"$354,500 ",*,*
PASIR RIS,2010,*,"$360,000 ","$410,000 "
PUNGGOL,2010,-,"$369,000 ","$430,000 "
QUEENSTOWN,2010,"$295,000 ","$505,000 ","$658,500 "
SEMBAWANG,2010,-,"$349,000 ","$400,000 "
SENGKANG,2010,-,"$369,000 ","$420,000 "
SERANGOON,2010,"$277,500 ","$357,500 ",*
TAMPINES,2010,"$293,000 ","$370,500 ","$430,000 "
TOA PAYOH,2010,"$286,000 ","$418,000 ","$550,000 "
WOODLANDS,2010,"$233,500 ","$320,000 ","$372,000 "
YISHUN,2010,"$248,000 ","$296,000 ","$388,500 "
